objectID,created_at,timestamp,author,title,url,points,num_comments
16874578,2018-04-19T09:56:36Z,1524131796,velmu,Research on 6G networks underway in Finland,https://metropolitan.fi/entry/university-oulu-nokia-bell-labs-begin-6g-mobile-network-research,2,0
17134301,2018-05-23T14:12:02Z,1527084722,ohjeez,It’s Never Too Early to Think About 6G,https://spectrum.ieee.org/tech-talk/telecom/wireless/its-never-too-early-to-think-about-6g,1,0
18015248,2018-09-18T13:49:11Z,1537278551,JoachimS,5G Is Just Rolling Out. So What's 6G?,https://www.eetimes.com/author.asp?section_id=36&doc_id=1333733,2,0
18370079,2018-11-03T13:30:59Z,1541251859,entelechy,First Foldable Smartphone is from Royole and costs $1.2k,http://www.royole.com/flexpai-black-6g-for-dev,3,0
19218174,2019-02-21T16:50:44Z,1550767844,rbanffy,Trump Demands 6G Technology in Rant Against American Companies,https://www.independent.co.uk/news/world/americas/us-politics/trump-6g-5g-twitter-technology-network-us-companies-today-a8790341.html,1,0
19218705,2019-02-21T17:38:35Z,1550770715,Leary,Trump Hints at a Softer Stance on Huawei in a Bizarre '6G' Tweet,https://www.cnbc.com/2019/02/21/trump-sends-bizarre-6g-tweet-as-china-trade-talks-resume.html,2,0
19220045,2019-02-21T19:59:09Z,1550779149,Balgair,President Trump Calls for 6G Technology,https://twitter.com/realDonaldTrump/status/1098581869233344512,5,2
19224248,2019-02-22T10:09:54Z,1550830194,JeanMarcS,"Sorry, Trump. 6G Is Not a Thing",https://mashable.com/article/trump-tweet-5g-6g-nonsense/,5,1
19225336,2019-02-22T14:03:42Z,1550844222,tosh,Trump Calls for 6G,https://techcrunch.com/2019/02/21/trump-calls-for-6g-cellular-technology-because-why-the-heck-not/,2,1
19411030,2019-03-16T23:17:07Z,1552778227,rmason,"FCC opens 95GHz to 3THz spectrum for ‘6G, 7G, or whatever’ is next",https://venturebeat.com/2019/03/15/fcc-opens-95ghz-to-3thz-spectrum-for-6g-7g-or-whatever-is-next/,2,0
19737556,2019-04-24T12:09:31Z,1556107771,lelf,Ready for 6G? How AI will shape the network of the future,https://www.technologyreview.com/s/613338/ready-for-6g-how-ai-will-shape-the-network-of-the-future/,1,0
19748389,2019-04-25T14:19:44Z,1556201984,oneowl,Do we need 6G already?,https://www.zdnet.com/article/do-we-need-6g-wireless-already-5g-engineers-debate/,1,0
20220820,2019-06-19T04:34:26Z,1560918866,egusa,The Race for 6G Mobile Technology Is Already On,https://sociable.co/mobile/the-race-for-6g-mobile-technology-is-already-on/,2,0
